x,y,reported_error,digitization_error
0.42944,0.805493,0.00810446,0.00270149
0.439173,0.805493,0.0117064,0.00270149
0.448905,0.805493,0.0135074,0.00270149
0.458637,0.805493,0.0144079,0.00270149
0.467153,0.805493,0.0148582,0.00270149
0.475669,0.805493,0.0144079,0.00270149
0.485401,0.805493,0.0135074,0.00270149
0.495134,0.805493,0.0112562,0.00270149
0.502433,0.805493,0.00675371,0.00270149
0.779805,0.684376,0.00765421,0.00270149
0.789538,0.684376,0.0112562,0.00270149
0.79927,0.684376,0.0139577,0.00270149
0.809002,0.684376,0.0148582,0.00270149
0.817518,0.684376,0.0148582,0.00270149
0.826034,0.684376,0.0148582,0.00270149
0.835766,0.684376,0.0130572,0.00270149
0.845499,0.684376,0.0112562,0.00270149
0.852798,0.684376,0.00675371,0.00270149
0.918491,0.616389,0.00360198,0.00270149
0.925791,0.616389,0.00990545,0.00270149
0.935523,0.616389,0.0126069,0.00270149
0.945255,0.616389,0.0144079,0.00270149
0.954988,0.616389,0.0148582,0.00270149
0.962287,0.616389,0.0148582,0.00270149
0.972019,0.616389,0.0139577,0.00270149
0.981752,0.616389,0.0126069,0.00270149
0.991484,0.616389,0.0094552,0.00270149
0.998783,0.616839,0.000450248,0.00270149
1.60949,0.489869,0.00405223,0.00270149
1.61679,0.489869,0.0103557,0.00270149
1.62652,0.489869,0.0130572,0.00270149
1.63625,0.489869,0.0139577,0.00270149
1.64477,0.489869,0.0148582,0.00270149
1.65328,0.489869,0.0148582,0.00270149
1.66302,0.489869,0.0139577,0.00270149
1.67275,0.489869,0.0121567,0.00270149
1.68248,0.489869,0.0094552,0.00270149
1.68978,0.489869,0.000450248,0.00270149
2.12287,0.41783,0.00855471,0.00270149
2.1326,0.41783,0.0121567,0.00270149
2.14234,0.41783,0.0139577,0.00270149
2.15207,0.41783,0.0148582,0.00270149
2.16058,0.41783,0.0148582,0.00270149
2.17032,0.41783,0.0139577,0.00270149
2.17883,0.41783,0.0130572,0.00270149
2.18856,0.41783,0.0103557,0.00270149
2.19586,0.41783,0.00585322,0.00270149
2.88443,0.380459,0.00675371,0.00270149
2.89173,0.380459,0.0112562,0.00270149
2.90146,0.380459,0.0135074,0.00270149
2.91119,0.380459,0.0144079,0.00270149
2.91971,0.380459,0.0148582,0.00270149
2.92822,0.380459,0.0144079,0.00270149
2.93796,0.380459,0.0135074,0.00270149
2.94769,0.380459,0.0117064,0.00270149
2.95742,0.380459,0.00765421,0.00270149
