x,y,reported_error,digitization_error
0.00958754,0.052822,0.00441378,0.001556
0.0104993,0.0525633,0.00413325,0.00154838
0.0107627,0.0525633,0.00206503,0.00154838
0.0187171,0.0797846,0.00352651,0.00235024
0.0191866,0.076336,0.00412454,0.00224866
0.0196679,0.0752199,0.00480412,0.00221578
0.0204127,0.0755901,0.00482776,0.00222669
0.0210113,0.0825742,0.0044616,0.00243242
0.027823,0.105032,0.00154704,0.00309397
0.028521,0.107642,0.00370006,0.00317086
0.0292365,0.11086,0.00381068,0.00326565
0.0304691,0.11086,0.00381068,0.00326565
0.0312334,0.108704,0.00373658,0.00320215
0.032017,0.106591,0.00261683,0.00313988
0.0374567,0.125954,0.00618629,0.00371029
0.0383963,0.127197,0.00937571,0.0037469
0.0393596,0.128452,0.00883598,0.00378387
0.0410189,0.128452,0.00883598,0.00378387
0.0420479,0.127197,0.00874964,0.0037469
0.0431028,0.126574,0.00186434,0.00372855
0.0468137,0.147382,0.00868798,0.00434148
0.0483861,0.147382,0.0130414,0.00434148
0.0498051,0.147382,0.0130414,0.00434148
0.0512658,0.147382,0.0130414,0.00434148
0.0529877,0.147382,0.0101381,0.00434148
0.0556796,0.167448,0.0032886,0.00493259
0.0570764,0.167448,0.0123426,0.00493259
0.0589934,0.167448,0.014817,0.00493259
0.0604733,0.167448,0.014817,0.00493259
0.0625045,0.167448,0.0131671,0.00493259
0.0651396,0.180245,0.0186164,0.00530955
0.0673275,0.186547,0.0146689,0.00549519
0.0695888,0.186547,0.016507,0.00549519
0.0713345,0.186547,0.016507,0.00549519
0.0743419,0.192124,0.0207918,0.00565948
0.0762069,0.203783,0.0200419,0.00600292
0.0790924,0.205794,0.0182101,0.00606215
0.081412,0.205794,0.0192247,0.00606215
0.0848443,0.214038,0.0242205,0.00630499
0.0873326,0.223707,0.0208981,0.00658983
0.0902659,0.224808,0.0198927,0.00662226
0.0936838,0.228144,0.0246899,0.00672052
0.0960339,0.236121,0.0243874,0.0069555
0.103444,0.246788,0.0279266,0.00726973
0.106039,0.255417,0.0301653,0.00752391
0.11051,0.260482,0.0256182,0.00767313
0.114221,0.26827,0.0316833,0.00790252
0.117087,0.27629,0.0299002,0.00813877
0.122023,0.281769,0.0304932,0.00830018
0.126121,0.290193,0.0328382,0.00854832
0.130358,0.297405,0.0336543,0.00876076
0.133628,0.304795,0.0344907,0.00897848
0.138116,0.313908,0.0355218,0.00924689
0.143939,0.323292,0.0349868,0.00952333
0.14755,0.329704,0.0373093,0.0097122
0.15377,0.33956,0.0384247,0.0100026
0.15828,0.346295,0.0408982,0.0102009
0.162922,0.356647,0.0403582,0.0105059
0.168394,0.36372,0.0429562,0.0107142
0.17405,0.374594,0.0405388,0.0110346
0.181388,0.385793,0.0436563,0.0113644
0.18748,0.393444,0.0445221,0.0115898
0.192183,0.405206,0.0478558,0.0119363
0.19946,0.41732,0.0492865,0.0122931
0.207013,0.427691,0.0483975,0.0125987
0.212206,0.440477,0.0520214,0.0129753
0.220241,0.451424,0.0533142,0.0132978
0.227638,0.464919,0.054908,0.0136953
0.236258,0.478818,0.0541831,0.0141047
0.243187,0.490718,0.0555296,0.0144553
0.250319,0.502913,0.0593952,0.0148145
0.259797,0.517947,0.0611708,0.0152574
0.269634,0.52822,0.0597734,0.01556
0.276398,0.544011,0.0615603,0.0160251
0.286864,0.560274,0.0661697,0.0165042
0.296499,0.574198,0.0706536,0.0169144
0.305195,0.588468,0.0694995,0.0173347
0.315445,0.606061,0.0715772,0.017853
0.328744,0.624179,0.0768037,0.0183867
0.338386,0.642839,0.0759208,0.0189364
0.349751,0.658815,0.0810655,0.019407
0.361498,0.675187,0.0797412,0.0198892
0.375186,0.695372,0.0855638,0.0204838
0.38619,0.716161,0.0845803,0.0210962
0.400812,0.737571,0.0871089,0.0217269
0.410867,0.759621,0.0934695,0.0223764
0.428189,0.774686,0.0953232,0.0228202
0.438931,0.797846,0.0902843,0.0235024
0.453673,0.809684,0.0796317,0.0238512
0.4728,0.825742,0.101605,0.0243242
0.48868,0.863046,0.106196,0.0254231
0.505093,0.888848,0.10937,0.0261831
0.519907,0.91542,0.11264,0.0269659
0.535155,0.933575,0.110257,0.0275007
0.553129,0.961485,0.118308,0.0283228
0.574073,0.980553,0.125506,0.0288845
0.59581,1.00987,0.129259,0.029748
0.615821,1.0299,0.142024,0.030338
0.633882,1.06068,0.14627,0.031245
0.655173,1.08704,0.155294,0.0320215
0.674388,1.11406,0.159153,0.0328173
0.699923,1.13615,0.156677,0.0334681
0.72045,1.17012,0.161361,0.0344687
0.750824,1.21103,0.167003,0.0356738
0.776042,1.24113,0.171153,0.0365604
0.79551,1.27823,0.182607,0.0376534
0.829048,1.30358,0.192696,0.0384001
0.853362,1.34916,0.19274,0.0397428
0.882024,1.37592,0.196562,0.040531
0.915422,1.41011,0.208443,0.0415382
0.938386,1.43808,0.219716,0.042362
1.03615,1.48107,0.174918,0.0436285
1.06214,1.52535,0.142493,0.0449327
