x,y,reported_error,digitization_error
0.018648,0.999213,0.000524476,0.00157343
0.02331,0.998689,0.000524476,0.00157343
0.198135,0.938899,0.00262238,0.00157343
0.205128,0.938899,0.00603147,0.00157343
0.214452,0.938899,0.0076049,0.00157343
0.223776,0.938899,0.00839161,0.00157343
0.2331,0.938899,0.00865385,0.00157343
0.240093,0.938899,0.00865385,0.00157343
0.249417,0.938899,0.00812937,0.00157343
0.258741,0.938899,0.00681818,0.00157343
0.268065,0.938899,0.00524476,0.00157343
0.7669,0.778147,0.00131119,0.00157343
0.773893,0.778409,0.00550699,0.00157343
0.783217,0.778409,0.00734266,0.00157343
0.792541,0.778409,0.00812937,0.00157343
0.801865,0.778409,0.00865385,0.00157343
0.808858,0.778409,0.00865385,0.00157343
0.818182,0.778409,0.00812937,0.00157343
0.827506,0.778409,0.00734266,0.00157343
0.83683,0.778147,0.00550699,0.00157343
0.843823,0.778409,0.00157343,0.00157343
1.68998,0.62264,0.00262238,0.00157343
1.69697,0.62264,0.00576923,0.00157343
1.70629,0.62264,0.00734266,0.00157343
1.71562,0.62264,0.00839161,0.00157343
1.72378,0.62264,0.00839161,0.00157343
1.7331,0.62264,0.00839161,0.00157343
1.74126,0.62264,0.00812937,0.00157343
1.75058,0.62264,0.00734266,0.00157343
1.75991,0.62264,0.00524476,0.00157343
1.91142,0.543444,0.00472028,0.00157343
1.92075,0.543444,0.00681818,0.00157343
1.93007,0.543444,0.00812937,0.00157343
1.93939,0.543444,0.00865385,0.00157343
1.94755,0.543706,0.00865385,0.00157343
1.95571,0.543444,0.00839161,0.00157343
1.96503,0.543444,0.00786713,0.00157343
1.97436,0.543444,0.00629371,0.00157343
1.98135,0.543444,0.00367133,0.00157343
2.46154,0.499388,0.0041958,0.00157343
2.47086,0.498077,0.00524476,0.00157343
2.47902,0.496766,0.00524476,0.00157343
2.48718,0.495717,0.00550699,0.00157343
2.49767,0.495455,0.00865385,0.00157343
2.50583,0.495717,0.00865385,0.00157343
2.51515,0.495717,0.00786713,0.00157343
2.52448,0.495455,0.00655594,0.00157343
2.53147,0.495717,0.000786713,0.00157343
